Region,fiscal_quarter,q_target,depth,level,node_id,parent,is_leaf,cascaded_quota,base_quota,hedge_buffer,overassignment_pct,share_of_parent
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_2,Dir_RVP_NA_2_2,False,2243249.64,2136428.23,106821.41,0.05,0.406039
NA,1,25000000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_3,Dir_RVP_NA_2_2,False,1408652.06,1341573.39,67078.67,0.05,0.254973
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_1,Mgr_Dir_RVP_NA_1_1_1,True,172428.29,149288.57,23139.73,0.155,0.097202
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_2,Mgr_Dir_RVP_NA_1_1_1,True,212400.63,183896.65,28503.98,0.155,0.119735
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_3,Mgr_Dir_RVP_NA_1_1_1,True,230449.33,199523.23,30926.1,0.155,0.12991
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_4,Mgr_Dir_RVP_NA_1_1_1,True,287660.31,249056.54,38603.76,0.155,0.162161
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_5,Mgr_Dir_RVP_NA_1_1_1,True,189761.9,164296.02,25465.88,0.155,0.106973
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_6,Mgr_Dir_RVP_NA_1_1_1,True,233858.69,202475.06,31383.63,0.155,0.131831
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_7,Mgr_Dir_RVP_NA_1_1_1,True,447362.32,387326.69,60035.64,0.155,0.252188
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_1,Mgr_Dir_RVP_NA_1_1_2,True,531651.37,460304.22,71347.15,0.155,0.334633
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_2,Mgr_Dir_RVP_NA_1_1_2,True,347622.84,300972.15,46650.68,0.155,0.218802
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_3,Mgr_Dir_RVP_NA_1_1_2,True,296835.88,257000.76,39835.12,0.155,0.186835
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_4,Mgr_Dir_RVP_NA_1_1_2,True,412647.31,357270.4,55376.91,0.155,0.25973
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_1,Mgr_Dir_RVP_NA_1_1_3,True,439419.23,380449.55,58969.68,0.155,0.23577
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_2,Mgr_Dir_RVP_NA_1_1_3,True,245996.88,212984.31,33012.57,0.155,0.131989
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_3,Mgr_Dir_RVP_NA_1_1_3,True,296897.82,257054.39,39843.43,0.155,0.1593
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_4,Mgr_Dir_RVP_NA_1_1_3,True,168303.02,145716.9,22586.12,0.155,0.090303
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_5,Mgr_Dir_RVP_NA_1_1_3,True,287870.15,249238.23,38631.92,0.155,0.154456
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_6,Mgr_Dir_RVP_NA_1_1_3,True,425278.95,368206.88,57072.07,0.155,0.228183
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_4_1,Mgr_Dir_RVP_NA_1_1_4,True,393628.62,340804.0,52824.62,0.155,0.292525
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_4_2,Mgr_Dir_RVP_NA_1_1_4,True,353868.56,306379.7,47488.85,0.155,0.262978
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_4_3,Mgr_Dir_RVP_NA_1_1_4,True,158517.23,137244.35,21272.87,0.155,0.117802
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_4_4,Mgr_Dir_RVP_NA_1_1_4,True,269689.06,233497.02,36192.04,0.155,0.20042
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_4_5,Mgr_Dir_RVP_NA_1_1_4,True,169919.2,147116.19,22803.01,0.155,0.126276
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_1,Mgr_Dir_RVP_NA_1_2_1,True,195893.14,169604.45,26288.69,0.155,0.123188
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_2,Mgr_Dir_RVP_NA_1_2_1,True,227170.64,196684.53,30486.1,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_3,Mgr_Dir_RVP_NA_1_2_1,True,113681.98,98425.96,15256.02,0.155,0.071489
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_4,Mgr_Dir_RVP_NA_1_2_1,True,341375.05,295562.81,45812.24,0.155,0.214675
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_5,Mgr_Dir_RVP_NA_1_2_1,True,221409.66,191696.68,29712.98,0.155,0.139234
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_6,Mgr_Dir_RVP_NA_1_2_1,True,208168.55,180232.51,27936.04,0.155,0.130908
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_1_7,Mgr_Dir_RVP_NA_1_2_1,True,282495.44,244584.8,37910.64,0.155,0.177648
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_1,Mgr_Dir_RVP_NA_1_2_2,True,173773.12,150452.92,23320.2,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_2,Mgr_Dir_RVP_NA_1_2_2,True,120134.99,104012.98,16122.01,0.155,0.098762
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_3,Mgr_Dir_RVP_NA_1_2_2,True,115430.1,99939.48,15490.62,0.155,0.094894
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_4,Mgr_Dir_RVP_NA_1_2_2,True,131025.17,113441.71,17583.46,0.155,0.107714
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_5,Mgr_Dir_RVP_NA_1_2_2,True,222992.93,193067.47,29925.46,0.155,0.18332
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_6,Mgr_Dir_RVP_NA_1_2_2,True,279282.42,241802.96,37479.46,0.155,0.229595
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_2_7,Mgr_Dir_RVP_NA_1_2_2,True,173773.12,150452.92,23320.2,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_1,Mgr_Dir_RVP_NA_1_2_3,True,228866.72,198153.0,30713.72,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_2,Mgr_Dir_RVP_NA_1_2_3,True,325256.6,281607.45,43649.15,0.155,0.203023
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_3,Mgr_Dir_RVP_NA_1_2_3,True,317579.55,274960.65,42618.9,0.155,0.198231
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_4,Mgr_Dir_RVP_NA_1_2_3,True,309191.16,267697.97,41493.19,0.155,0.192995
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_5,Mgr_Dir_RVP_NA_1_2_3,True,154936.1,134143.81,20792.29,0.155,0.09671
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_6,Mgr_Dir_RVP_NA_1_2_3,True,146900.13,127186.26,19713.87,0.155,0.091694
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_3_7,Mgr_Dir_RVP_NA_1_2_3,True,119336.77,103321.88,16014.89,0.155,0.074489
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_4_1,Mgr_Dir_RVP_NA_1_2_4,True,243236.67,210594.52,32642.15,0.155,0.193726
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_4_2,Mgr_Dir_RVP_NA_1_2_4,True,304970.33,264043.58,40926.75,0.155,0.242893
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_4_3,Mgr_Dir_RVP_NA_1_2_4,True,264736.59,229209.17,35527.42,0.155,0.210849
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_4_4,Mgr_Dir_RVP_NA_1_2_4,True,201204.93,174203.4,27001.53,0.155,0.16025
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_2_4_5,Mgr_Dir_RVP_NA_1_2_4,True,241424.29,209025.36,32398.93,0.155,0.192282
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_1,Mgr_Dir_RVP_NA_1_3_1,True,639962.26,554079.88,85882.38,0.155,0.237861
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_2,Mgr_Dir_RVP_NA_1_3_1,True,296988.65,257133.03,39855.62,0.155,0.110385
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_3,Mgr_Dir_RVP_NA_1_3_1,True,548273.62,474695.78,73577.85,0.155,0.203782
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_4,Mgr_Dir_RVP_NA_1_3_1,True,221979.84,192190.34,29789.5,0.155,0.082505
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_5,Mgr_Dir_RVP_NA_1_3_1,True,432333.14,374314.41,58018.73,0.155,0.16069
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_6,Mgr_Dir_RVP_NA_1_3_1,True,316366.94,273910.77,42456.17,0.155,0.117587
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_1_7,Mgr_Dir_RVP_NA_1_3_1,True,234582.52,203101.75,31480.77,0.155,0.08719
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_1,Mgr_Dir_RVP_NA_1_3_2,True,487231.14,421845.14,65386.0,0.155,0.178619
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_2,Mgr_Dir_RVP_NA_1_3_2,True,389680.79,337385.96,52294.82,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_3,Mgr_Dir_RVP_NA_1_3_2,True,275010.44,238104.27,36906.16,0.155,0.100819
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_4,Mgr_Dir_RVP_NA_1_3_2,True,525551.89,455023.29,70528.61,0.155,0.192668
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_5,Mgr_Dir_RVP_NA_1_3_2,True,419044.42,362809.02,56235.4,0.155,0.153622
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_6,Mgr_Dir_RVP_NA_1_3_2,True,209496.19,181381.98,28114.21,0.155,0.076801
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_3_2_7,Mgr_Dir_RVP_NA_1_3_2,True,421750.65,365152.08,56598.57,0.155,0.154614
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_1_1,Mgr_Dir_RVP_NA_2_1_1,True,377251.22,326624.43,50626.79,0.155,0.25
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_1_2,Mgr_Dir_RVP_NA_2_1_1,True,476604.47,412644.56,63959.91,0.155,0.31584
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_1_3,Mgr_Dir_RVP_NA_2_1_1,True,457328.45,395955.36,61373.08,0.155,0.303066
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_1_4,Mgr_Dir_RVP_NA_2_1_1,True,197820.75,171273.38,26547.37,0.155,0.131094
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_2_1,Mgr_Dir_RVP_NA_2_1_2,True,420982.2,364486.76,56495.45,0.155,0.259428
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_2_2,Mgr_Dir_RVP_NA_2_1_2,True,324547.02,280993.09,43553.93,0.155,0.2
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_2_3,Mgr_Dir_RVP_NA_2_1_2,True,464256.66,401953.82,62302.84,0.155,0.286095
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_2_4,Mgr_Dir_RVP_NA_2_1_2,True,153118.96,132570.53,20548.43,0.155,0.094359
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_2_5,Mgr_Dir_RVP_NA_2_1_2,True,259830.27,224961.27,34869.0,0.155,0.160119
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_1,Mgr_Dir_RVP_NA_2_1_3,True,287357.7,248794.55,38563.15,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_2,Mgr_Dir_RVP_NA_2_1_3,True,286859.93,248363.57,38496.35,0.155,0.14261
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_3,Mgr_Dir_RVP_NA_2_1_3,True,218998.38,189608.99,29389.39,0.155,0.108873
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_4,Mgr_Dir_RVP_NA_2_1_3,True,402550.48,348528.55,54021.93,0.155,0.200124
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_5,Mgr_Dir_RVP_NA_2_1_3,True,287357.7,248794.55,38563.15,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_6,Mgr_Dir_RVP_NA_2_1_3,True,241022.01,208677.07,32344.95,0.155,0.119822
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_1_3_7,Mgr_Dir_RVP_NA_2_1_3,True,287357.7,248794.55,38563.15,0.155,0.142857
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_1,Mgr_Dir_RVP_NA_2_2_1,True,312263.51,270358.02,41905.49,0.155,0.151577
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_2,Mgr_Dir_RVP_NA_2_2_1,True,343349.67,297272.44,46077.23,0.155,0.166667
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_3,Mgr_Dir_RVP_NA_2_2_1,True,340446.83,294759.16,45687.67,0.155,0.165258
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_4,Mgr_Dir_RVP_NA_2_2_1,True,184041.8,159343.55,24698.25,0.155,0.089336
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_5,Mgr_Dir_RVP_NA_2_2_1,True,358017.32,309971.71,48045.61,0.155,0.173787
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_1_6,Mgr_Dir_RVP_NA_2_2_1,True,521978.89,451929.77,70049.11,0.155,0.253376
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_1,Mgr_Dir_RVP_NA_2_2_2,True,591131.65,511802.29,79329.36,0.155,0.23956
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_2,Mgr_Dir_RVP_NA_2_2_2,True,366744.21,317527.45,49216.76,0.155,0.148625
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_3,Mgr_Dir_RVP_NA_2_2_2,True,127152.41,110088.66,17063.74,0.155,0.051529
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_4,Mgr_Dir_RVP_NA_2_2_2,True,320524.28,277510.2,43014.08,0.155,0.129894
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_5,Mgr_Dir_RVP_NA_2_2_2,True,393839.35,340986.45,52852.9,0.155,0.159606
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_6,Mgr_Dir_RVP_NA_2_2_2,True,449691.06,389342.91,60348.15,0.155,0.18224
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_2_7,Mgr_Dir_RVP_NA_2_2_2,True,218491.65,189170.26,29321.39,0.155,0.088545
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_1,Mgr_Dir_RVP_NA_2_2_3,True,258252.88,223595.56,34657.31,0.155,0.166667
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_2,Mgr_Dir_RVP_NA_2_2_3,True,258252.88,223595.56,34657.31,0.155,0.166667
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_3,Mgr_Dir_RVP_NA_2_2_3,True,248794.05,215406.11,33387.95,0.155,0.160562
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_4,Mgr_Dir_RVP_NA_2_2_3,True,198803.68,172124.4,26679.28,0.155,0.1283
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_5,Mgr_Dir_RVP_NA_2_2_3,True,393915.96,341052.78,52863.18,0.155,0.254219
NA,1,25000000.0,5,IC,IC_Mgr_Dir_RVP_NA_2_2_3_6,Mgr_Dir_RVP_NA_2_2_3,True,191497.81,165798.97,25698.84,0.155,0.123585
NA,2,27500000.0,0,Global,Global_Corp,,False,27500000.0,27500000.0,0.0,0.0,1.0
NA,2,27500000.0,1,Region,NA,Global_Corp,False,27500000.0,27500000.0,0.0,0.0,1.0
NA,2,27500000.0,2,RVP,RVP_NA_1,NA,False,16813872.59,16813872.59,0.0,0.0,0.611414
NA,2,27500000.0,2,RVP,RVP_NA_2,NA,False,10686127.41,10686127.41,0.0,0.0,0.388586
NA,2,27500000.0,3,Director,Dir_RVP_NA_1_1,RVP_NA_1,False,6259111.99,6259111.99,0.0,0.0,0.372259
NA,2,27500000.0,3,Director,Dir_RVP_NA_1_2,RVP_NA_1,False,5394520.13,5394520.13,0.0,0.0,0.320837
NA,2,27500000.0,3,Director,Dir_RVP_NA_1_3,RVP_NA_1,False,5160240.47,5160240.47,0.0,0.0,0.306904
NA,2,27500000.0,3,Director,Dir_RVP_NA_2_1,RVP_NA_2,False,4898327.53,4898327.53,0.0,0.0,0.458382
NA,2,27500000.0,3,Director,Dir_RVP_NA_2_2,RVP_NA_2,False,5787799.88,5787799.88,0.0,0.0,0.541618
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_1,Dir_RVP_NA_1_1,False,1773921.48,1689449.03,84472.45,0.05,0.269918
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_2,Dir_RVP_NA_1_1,False,1588757.4,1513102.28,75655.11,0.05,0.241744
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_3,Dir_RVP_NA_1_1,False,1863766.05,1775015.29,88750.76,0.05,0.283589
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_1_4,Dir_RVP_NA_1_1,False,1345622.67,1281545.4,64077.27,0.05,0.204749
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_1,Dir_RVP_NA_1_2,False,1590194.45,1514470.91,75723.55,0.05,0.280742
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_2,Dir_RVP_NA_1_2,False,1216411.85,1158487.48,57924.37,0.05,0.214753
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_3,Dir_RVP_NA_1_2,False,1602067.02,1525778.12,76288.91,0.05,0.282839
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_2_4,Dir_RVP_NA_1_2,False,1255572.81,1195783.62,59789.18,0.05,0.221666
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_3_1,Dir_RVP_NA_1_3,False,2690486.98,2562368.55,128118.43,0.05,0.49656
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_1_3_2,Dir_RVP_NA_1_3,False,2727765.51,2597871.92,129893.6,0.05,0.50344
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_1,Dir_RVP_NA_2_1,False,1509004.89,1437147.51,71857.38,0.05,0.293396
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_2,Dir_RVP_NA_2_1,False,1622735.11,1545462.01,77273.1,0.05,0.315508
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_1_3,Dir_RVP_NA_2_1,False,2011503.9,1915718.0,95785.9,0.05,0.391096
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_1,Dir_RVP_NA_2_2,False,2060098.01,1961998.1,98099.91,0.05,0.338989
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_2,Dir_RVP_NA_2_2,False,2467574.61,2350071.05,117503.55,0.05,0.406039
NA,2,27500000.0,4,Manager,Mgr_Dir_RVP_NA_2_2_3,Dir_RVP_NA_2_2,False,1549517.26,1475730.73,73786.54,0.05,0.254973
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_1,Mgr_Dir_RVP_NA_1_1_1,True,189671.12,164217.42,25453.7,0.155,0.097202
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_2,Mgr_Dir_RVP_NA_1_1_1,True,233640.69,202286.31,31354.38,0.155,0.119735
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_3,Mgr_Dir_RVP_NA_1_1_1,True,253494.27,219475.56,34018.71,0.155,0.12991
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_4,Mgr_Dir_RVP_NA_1_1_1,True,316426.34,273962.2,42464.14,0.155,0.162161
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_5,Mgr_Dir_RVP_NA_1_1_1,True,208738.09,180725.62,28012.47,0.155,0.106973
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_6,Mgr_Dir_RVP_NA_1_1_1,True,257244.56,222722.56,34522.0,0.155,0.131831
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_1_7,Mgr_Dir_RVP_NA_1_1_1,True,492098.56,426059.36,66039.2,0.155,0.252188
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_1,Mgr_Dir_RVP_NA_1_1_2,True,584816.51,506334.64,78481.87,0.155,0.334633
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_2,Mgr_Dir_RVP_NA_1_1_2,True,382385.12,331069.37,51315.75,0.155,0.218802
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_3,Mgr_Dir_RVP_NA_1_1_2,True,326519.47,282700.84,43818.63,0.155,0.186835
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_2_4,Mgr_Dir_RVP_NA_1_1_2,True,453912.04,392997.44,60914.6,0.155,0.25973
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_1,Mgr_Dir_RVP_NA_1_1_3,True,483361.16,418494.51,64866.65,0.155,0.23577
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_2,Mgr_Dir_RVP_NA_1_1_3,True,270596.57,234282.74,36313.82,0.155,0.131989
NA,2,27500000.0,5,IC,IC_Mgr_Dir_RVP_NA_1_1_3_3,Mgr_Dir_RVP_NA_1_1_3,True,326587.6,282759.83,43827.77,0.155,0.1593
