Node,Level,Cascaded_Quota,Pipeline,Coverage_Ratio,Healthy_Threshold,At_Risk_Threshold,Risk_Status
Mgr_Dir_RVP_APAC_1_3_4,4,1490924.1,2954218.54,1.9815,3.0,1.5,Moderate
Mgr_Dir_RVP_EMEA_1_1_1,4,3346702.42,6322585.91,1.8892,2.5,1.2,Moderate
Mgr_Dir_RVP_EMEA_1_1_2,4,3205610.19,6858525.89,2.1395,2.5,1.2,Moderate
Mgr_Dir_RVP_EMEA_1_2_1,4,3255362.97,6929159.99,2.1285,2.5,1.2,Moderate
Mgr_Dir_RVP_EMEA_1_2_2,4,2784149.46,4865701.9,1.7476,2.5,1.2,Moderate
Mgr_Dir_RVP_NA_1_1_1,4,1902255.18,5402942.74,2.8403,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_1_2,4,1227868.06,2963654.05,2.4137,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_1_3,4,1907215.68,4839727.6,2.5376,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_1_4,4,1374009.25,2930065.82,2.1325,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_2_1,4,2093293.74,6286612.19,3.0032,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_2_2,4,1378521.24,4648357.89,3.372,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_2_3,4,2055235.12,6767930.18,3.293,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_2_4,4,1787895.29,5937563.7,3.321,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_3_1,4,2599218.89,4995242.63,1.9218,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_1_3_2,4,2234554.83,6049961.02,2.7075,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_1_1,4,1131379.69,2355267.91,2.0818,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_1_2,4,1683301.02,3624354.51,2.1531,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_1_3,4,1791557.93,3526802.17,1.9686,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_2_1,4,1710921.59,3890758.25,2.2741,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_2_2,4,2186808.69,4766792.94,2.1798,1.5,0.8,Healthy
Mgr_Dir_RVP_NA_2_2_3,4,1875916.68,4031875.03,2.1493,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_1_1,5,472369.97,1326805.24,2.8088,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_1_2,5,278673.82,490273.11,1.7593,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_1_3,5,254919.27,877904.94,3.4439,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_1_4,5,504637.19,1377753.99,2.7302,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_2_1,5,187058.36,421562.68,2.2536,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_2_2,5,354962.83,1491060.14,4.2006,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_2_3,5,497726.19,1705810.72,3.4272,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_2_4,5,443503.63,1494285.29,3.3693,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_2_5,5,335512.17,160297.53,0.4778,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_1_2_6,5,194309.83,505935.86,2.6038,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_3_1,5,253184.18,785953.7,3.1043,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_1_3_2,5,358069.21,704537.22,1.9676,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_3_3,5,380890.62,1097204.72,2.8806,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_3_4,5,188838.7,447049.26,2.3674,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_3_5,5,513844.14,1208494.07,2.3519,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_1_3_6,5,338190.96,203337.64,0.6013,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_2_1_1,5,458223.6,1309971.32,2.8588,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_1_2,5,429508.09,1280999.77,2.9825,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_1_3,5,179543.7,350443.56,1.9519,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_1_4,5,336103.56,182122.17,0.5419,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_2_1_5,5,336103.56,184666.48,0.5494,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_2_1_6,5,277138.86,1131584.09,4.0831,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_2_2_1,5,205985.13,315661.8,1.5324,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_2_2,5,510214.72,1371848.39,2.6888,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_2_3,5,368692.95,1108083.53,3.0054,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_2_2_4,5,254008.03,570550.38,2.2462,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_2_2_5,5,334725.21,211878.97,0.633,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_3_1_1,5,268399.75,644854.43,2.4026,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_1_2,5,248745.13,684309.73,2.751,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_1_3,5,149656.38,321929.34,2.1511,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_1_4,5,304212.86,1054669.54,3.4669,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_3_1_5,5,247080.93,532951.37,2.157,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_1_6,5,273463.53,163656.79,0.5985,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_3_1_7,5,422686.12,1391846.22,3.2929,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_3_2_1,5,267804.31,475138.47,1.7742,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_2_2,5,147541.52,400930.6,2.7174,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_2_3,5,438213.87,1114784.81,2.5439,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_2_4,5,284519.9,124897.27,0.439,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_3_3_1,5,308585.74,690151.6,2.2365,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_3_2,5,279621.9,172229.51,0.6159,3.0,1.5,Critical
IC_Mgr_Dir_RVP_APAC_1_3_3_3,5,353242.76,1384059.33,3.9182,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_3_3_4,5,177037.2,550647.16,3.1103,3.0,1.5,Healthy
IC_Mgr_Dir_RVP_APAC_1_3_4_1,5,308624.73,559102.31,1.8116,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_4_2,5,214712.25,557216.27,2.5952,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_4_3,5,404301.05,1084498.69,2.6824,3.0,1.5,Moderate
IC_Mgr_Dir_RVP_APAC_1_3_4_4,5,434883.61,609457.37,1.4014,3.0,1.5,At Risk
IC_Mgr_Dir_RVP_APAC_1_3_4_5,5,128402.46,143943.9,1.121,3.0,1.5,At Risk
IC_Mgr_Dir_RVP_EMEA_1_1_1_1,5,466808.63,1012219.05,2.1684,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_1_2,5,357117.51,699362.37,1.9584,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_1_3,5,432140.12,712625.66,1.6491,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_1_4,5,507406.31,1070913.2,2.1106,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_1_5,5,478100.35,269419.76,0.5635,2.5,1.2,Critical
IC_Mgr_Dir_RVP_EMEA_1_1_1_6,5,335819.51,597499.43,1.7792,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_1_7,5,769309.99,1960546.44,2.5484,2.5,1.2,Healthy
IC_Mgr_Dir_RVP_EMEA_1_1_2_1,5,726814.21,1641268.68,2.2582,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_2_2,5,484285.91,719840.16,1.4864,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_2_3,5,591730.54,1342225.23,2.2683,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_2_4,5,665476.88,1723208.45,2.5894,2.5,1.2,Healthy
IC_Mgr_Dir_RVP_EMEA_1_1_2_5,5,348702.57,645854.3,1.8522,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_1_2_6,5,388600.07,786129.07,2.023,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_1_1,5,382326.8,548272.13,1.434,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_1_2,5,534997.57,1470749.74,2.7491,2.5,1.2,Healthy
IC_Mgr_Dir_RVP_EMEA_1_2_1_3,5,638608.48,1246551.12,1.952,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_1_4,5,465051.85,190684.34,0.41,2.5,1.2,Critical
IC_Mgr_Dir_RVP_EMEA_1_2_1_5,5,406188.45,1294815.76,3.1877,2.5,1.2,Healthy
IC_Mgr_Dir_RVP_EMEA_1_2_1_6,5,553476.5,1787350.11,3.2293,2.5,1.2,Healthy
IC_Mgr_Dir_RVP_EMEA_1_2_1_7,5,274713.33,390736.79,1.4223,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_2_1,5,561123.99,1282689.86,2.2859,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_2_2,5,340732.14,700393.92,2.0556,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_2_3,5,394521.5,684234.75,1.7343,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_2_4,5,652770.83,1242901.86,1.904,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_EMEA_1_2_2_5,5,464024.91,197350.52,0.4253,2.5,1.2,Critical
IC_Mgr_Dir_RVP_EMEA_1_2_2_6,5,370976.09,758130.99,2.0436,2.5,1.2,Moderate
IC_Mgr_Dir_RVP_NA_1_1_1_1,5,188333.08,476663.33,2.531,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_2,5,242846.13,797242.84,3.2829,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_3,5,372178.56,782239.42,2.1018,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_4,5,197612.5,591286.72,2.9922,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_5,5,240155.26,725800.48,3.0222,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_6,5,397233.33,1083669.06,2.728,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_1_7,5,263896.31,946040.89,3.5849,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_2_1,5,348046.34,1503314.15,4.3193,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_2_2,5,329587.85,686675.85,2.0834,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_2_3,5,306967.01,170230.84,0.5546,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_1_2_4,5,243266.85,603433.21,2.4805,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_3_1,5,352712.3,918125.93,2.603,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_3_2,5,404417.04,1392030.2,3.4421,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_3_3,5,236938.76,641327.12,2.7067,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_3_4,5,230229.88,672687.02,2.9218,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_3_5,5,317869.28,247712.16,0.7793,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_1_3_6,5,365048.42,967845.17,2.6513,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_4_1,5,194348.99,525651.58,2.7047,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_4_2,5,402807.12,850309.03,2.111,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_4_3,5,323934.85,695816.48,2.148,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_4_4,5,274801.85,515903.12,1.8774,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_1_4_5,5,178116.45,342385.61,1.9223,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_1,5,299041.96,728561.47,2.4363,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_2,5,299041.96,127858.73,0.4276,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_2_1_3,5,344569.76,1383253.6,4.0144,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_4,5,266636.71,834460.12,3.1296,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_5,5,116568.86,337704.72,2.897,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_6,5,368895.19,1553998.99,4.2126,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_1_7,5,398539.3,1320774.56,3.314,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_1,5,196931.61,145643.88,0.7396,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_2_2_2,5,182389.78,728114.55,3.9921,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_3,5,129802.05,625465.36,4.8186,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_4,5,134821.55,579546.86,4.2986,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_5,5,369081.51,1700814.93,4.6082,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_6,5,168563.14,670431.74,3.9773,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_2_7,5,196931.61,198340.57,1.0072,1.5,0.8,Moderate
IC_Mgr_Dir_RVP_NA_1_2_3_1,5,293605.02,225873.93,0.7693,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_2_3_2,5,358504.73,1603432.6,4.4726,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_3_3,5,228300.67,708492.73,3.1033,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_3_4,5,343531.89,859968.87,2.5033,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_3_5,5,160413.45,263687.32,1.6438,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_3_6,5,331956.4,1554760.55,4.6836,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_3_7,5,338922.95,1551714.18,4.5784,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_4_1,5,364171.36,1299596.87,3.5686,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_4_2,5,338028.93,1266707.8,3.7473,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_4_3,5,373132.25,1146597.08,3.0729,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_4_4,5,256902.77,749260.43,2.9165,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_2_4_5,5,455659.99,1475401.52,3.2379,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_1,5,301442.38,701661.33,2.3277,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_2,5,231673.41,423772.01,1.8292,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_3,5,728545.26,1205935.53,1.6553,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_4,5,287244.88,573950.56,1.9981,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_5,5,202247.67,499483.91,2.4697,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_6,5,476748.3,947542.28,1.9875,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_1_7,5,371316.98,642897.01,1.7314,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_1,5,300518.07,998756.67,3.3234,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_2,5,319222.12,184165.18,0.5769,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_1_3_2_3,5,300639.02,1013653.25,3.3717,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_4,5,306580.97,575776.15,1.8781,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_5,5,320821.1,794117.17,2.4753,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_6,5,252851.58,690761.66,2.7319,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_1_3_2_7,5,433921.97,1792730.94,4.1315,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_1_1,5,282844.92,180978.56,0.6399,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_1_1_2,5,151176.31,307051.09,2.0311,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_1_3,5,418013.41,1263955.18,3.0237,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_1_4,5,279345.05,603283.08,2.1596,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_2_1,5,393518.61,939721.92,2.388,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_2_2,5,336660.2,202625.89,0.6019,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_1_2_3,5,242835.17,591555.36,2.436,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_2_4,5,279868.7,814972.29,2.912,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_2_5,5,430418.34,1075479.05,2.4987,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_3_1,5,255936.85,194647.55,0.7605,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_1_3_2,5,337262.1,701372.18,2.0796,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_3_3,5,176080.19,482718.97,2.7415,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_3_4,5,180449.34,608177.24,3.3703,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_3_5,5,255936.85,175491.06,0.6857,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_1_3_6,5,329955.76,1187787.97,3.5998,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_1_3_7,5,255936.85,176607.2,0.69,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_2_1_1,5,214454.06,644866.14,3.007,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_1_2,5,285153.6,123435.97,0.4329,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_2_1_3,5,184561.56,373128.51,2.0217,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_1_4,5,183361.43,390050.06,2.1272,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_1_5,5,401092.99,1123090.17,2.8001,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_1_6,5,442297.95,1236187.4,2.7949,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_1,5,426144.82,1306919.55,3.0668,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_2,5,380367.45,508123.78,1.3359,1.5,0.8,Moderate
IC_Mgr_Dir_RVP_NA_2_2_2_3,5,135801.07,245911.54,1.8108,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_4,5,288954.33,452015.58,1.5643,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_5,5,355743.82,764906.92,2.1502,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_6,5,368491.97,939976.13,2.5509,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_2_7,5,231305.23,548939.44,2.3732,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_3_1,5,312652.78,190905.29,0.6106,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_2_3_2,5,312652.78,173763.58,0.5558,1.5,0.8,Critical
IC_Mgr_Dir_RVP_NA_2_2_3_3,5,402405.72,1425095.5,3.5414,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_3_4,5,165293.19,408826.66,2.4733,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_3_5,5,370259.42,1426559.41,3.8529,1.5,0.8,Healthy
IC_Mgr_Dir_RVP_NA_2_2_3_6,5,312652.78,406724.59,1.3009,1.5,0.8,Moderate
